elem_idx,offset,radius,hitted,tof_total
45,-0.006,0.01,False,0
46,-0.006,0.01,False,0
47,-0.006,0.01,False,0
48,-0.006,0.01,False,0
49,-0.006,0.01,False,0
50,-0.006,0.01,False,0
51,-0.006,0.01,False,0
52,-0.006,0.01,False,0
53,-0.006,0.01,False,0
54,-0.006,0.01,False,0
55,-0.006,0.01,False,0
56,-0.006,0.01,False,0
57,-0.006,0.01,False,0
58,-0.006,0.01,False,0
59,-0.006,0.01,False,0
60,-0.006,0.01,False,0
61,-0.006,0.01,False,0
62,-0.006,0.01,False,0
63,-0.006,0.01,False,0
64,-0.006,0.01,False,0
0,-0.005,0.01,True,0.00014962847070613787
1,-0.005,0.01,False,0
2,-0.005,0.01,False,0
3,-0.005,0.01,False,0
4,-0.005,0.01,False,0
5,-0.005,0.01,False,0
6,-0.005,0.01,False,0
7,-0.005,0.01,False,0
8,-0.005,0.01,False,0
9,-0.005,0.01,False,0
10,-0.005,0.01,False,0
11,-0.005,0.01,False,0
12,-0.005,0.01,False,0
13,-0.005,0.01,False,0
14,-0.005,0.01,False,0
15,-0.005,0.01,False,0
16,-0.005,0.01,False,0
17,-0.005,0.01,False,0
18,-0.005,0.01,False,0
19,-0.005,0.01,False,0
20,-0.005,0.01,False,0
21,-0.005,0.01,False,0
22,-0.005,0.01,False,0
23,-0.005,0.01,False,0
24,-0.005,0.01,False,0
25,-0.005,0.01,False,0
26,-0.005,0.01,False,0
27,-0.005,0.01,False,0
28,-0.005,0.01,False,0
29,-0.005,0.01,False,0
30,-0.005,0.01,False,0
31,-0.005,0.01,False,0
32,-0.005,0.01,True,0.00014557317699879358
33,-0.005,0.01,False,0
34,-0.005,0.01,False,0
35,-0.005,0.01,False,0
36,-0.005,0.01,False,0
37,-0.005,0.01,False,0
38,-0.005,0.01,False,0
39,-0.005,0.01,False,0
40,-0.005,0.01,False,0
41,-0.005,0.01,False,0
42,-0.005,0.01,False,0
43,-0.005,0.01,False,0
44,-0.005,0.01,False,0
45,-0.005,0.01,False,0
46,-0.005,0.01,False,0
47,-0.005,0.01,False,0
48,-0.005,0.01,False,0
49,-0.005,0.01,False,0
50,-0.005,0.01,False,0
51,-0.005,0.01,False,0
52,-0.005,0.01,False,0
53,-0.005,0.01,False,0
54,-0.005,0.01,False,0
55,-0.005,0.01,False,0
56,-0.005,0.01,False,0
57,-0.005,0.01,False,0
58,-0.005,0.01,False,0
59,-0.005,0.01,False,0
60,-0.005,0.01,False,0
61,-0.005,0.01,False,0
62,-0.005,0.01,False,0
63,-0.005,0.01,False,0
64,-0.005,0.01,False,0
0,-0.004,0.01,False,0
1,-0.004,0.01,False,0
2,-0.004,0.01,False,0
3,-0.004,0.01,False,0
4,-0.004,0.01,False,0
5,-0.004,0.01,False,0
6,-0.004,0.01,False,0
7,-0.004,0.01,False,0
8,-0.004,0.01,False,0
9,-0.004,0.01,False,0
10,-0.004,0.01,False,0
11,-0.004,0.01,False,0
12,-0.004,0.01,True,0.00014736925938242264
13,-0.004,0.01,False,0
14,-0.004,0.01,False,0
15,-0.004,0.01,False,0
16,-0.004,0.01,True,0.00014701341604016015
17,-0.004,0.01,False,0
18,-0.004,0.01,False,0
19,-0.004,0.01,False,0
20,-0.004,0.01,False,0
21,-0.004,0.01,False,0
22,-0.004,0.01,False,0
23,-0.004,0.01,False,0
24,-0.004,0.01,False,0
25,-0.004,0.01,False,0
26,-0.004,0.01,False,0
27,-0.004,0.01,False,0
28,-0.004,0.01,False,0
29,-0.004,0.01,False,0
30,-0.004,0.01,False,0
31,-0.004,0.01,True,0.00014505033135717616
32,-0.004,0.01,True,0.0001437665597852102
33,-0.004,0.01,False,0
34,-0.004,0.01,False,0
35,-0.004,0.01,False,0
36,-0.004,0.01,False,0
37,-0.004,0.01,False,0
38,-0.004,0.01,False,0
39,-0.004,0.01,False,0
40,-0.004,0.01,False,0
41,-0.004,0.01,False,0
42,-0.004,0.01,False,0
43,-0.004,0.01,False,0
44,-0.004,0.01,False,0
