alpha,offset,radius,hitted,tof_1,tof_2,tof_3,tof_4
-0.7544860477044274,0.0,0.07,True,2.5264859540517484e-05,6.159796415281472e-06,6.159796415281485e-06,2.5264859540517423e-05
-0.7525314206378356,0.0,0.07,True,2.52408174559259e-05,6.183838499873046e-06,6.183838499873046e-06,2.5240817455925916e-05
-0.7505767935712438,0.0,0.07,True,2.521677966007921e-05,6.207876295719755e-06,6.207876295719752e-06,2.5216779660079174e-05
-0.7486221665046521,0.0,0.07,True,2.5192746331883226e-05,6.231909623915736e-06,6.2319096239157335e-06,2.5192746331883232e-05
-0.7466675394380603,0.0,0.07,True,2.5168717651236397e-05,6.25593830456257e-06,6.255938304562577e-06,2.5168717651236438e-05
-0.7447129123714685,0.0,0.07,True,2.5144693799034163e-05,6.279962156764796e-06,6.279962156764807e-06,2.5144693799034217e-05
-0.7427582853048768,0.0,0.07,True,2.5120674957173303e-05,6.303980998625671e-06,6.3039809986256634e-06,2.512067495717341e-05
-0.740803658238285,0.0,0.07,True,2.509666130855632e-05,6.3279946472426436e-06,6.327994647242647e-06,2.5096661308556383e-05
-0.7388490311716932,0.0,0.07,True,2.507265303709577e-05,6.352002918703202e-06,6.352002918703198e-06,2.5072653037095777e-05
-0.7368944041051013,0.0,0.07,True,2.5048650327718626e-05,6.376005628080355e-06,6.376005628080351e-06,2.5048650327718683e-05
-0.7349397770385095,0.0,0.07,True,2.5024653366370684e-05,6.400002589428263e-06,6.400002589428261e-06,2.5024653366370623e-05
-0.7329851499719178,0.0,0.07,True,2.5000662340020826e-05,6.423993615778114e-06,6.423993615778123e-06,2.500066234002082e-05
-0.731030522905326,0.0,0.07,True,2.4976677436665465e-05,6.447978519133479e-06,6.447978519133479e-06,2.4976677436665367e-05
-0.7290758958387342,0.0,0.07,True,2.4952698845332878e-05,6.471957110466079e-06,6.471957110466081e-06,2.495269884533291e-05
-0.7271212687721424,0.0,0.07,True,2.4928726756087537e-05,6.495929199711405e-06,6.495929199711406e-06,2.4928726756087523e-05
-0.7251666417055507,0.0,0.07,True,2.490476136003447e-05,6.519894595764483e-06,6.51989459576449e-06,2.4904761360034484e-05
-0.7232120146389589,0.0,0.07,True,2.4880802849323612e-05,6.543853106475349e-06,6.543853106475342e-06,2.4880802849323652e-05
-0.7212573875723671,0.0,0.07,True,2.485685141715416e-05,6.5678045386448125e-06,6.567804538644813e-06,2.4856851417154333e-05
-0.7193027605057754,0.0,0.07,True,2.4832907257778882e-05,6.591748698020076e-06,6.591748698020076e-06,2.4832907257778865e-05
-0.7173481334391836,0.0,0.07,True,2.4808970566508494e-05,6.615685389290426e-06,6.615685389290448e-06,2.4808970566508453e-05
-0.7153935063725918,0.0,0.07,True,2.478504153971595e-05,6.639614416082999e-06,6.639614416082996e-06,2.4785041539715926e-05
-0.713438879306,0.0,0.07,True,2.4761120374840794e-05,6.66353558095814e-06,6.6635355809581464e-06,2.476112037484079e-05
-0.7114842522394083,0.0,0.07,True,2.4737207270393466e-05,6.687448685405478e-06,6.687448685405488e-06,2.473720727039345e-05
-0.7095296251728165,0.0,0.07,True,2.4713302425959623e-05,6.71135352983934e-06,6.7113535298393335e-06,2.471330242595971e-05
-0.7075749981062247,0.0,0.07,True,2.468940604220445e-05,6.735249913594503e-06,6.735249913594509e-06,2.4689406042204583e-05
-0.7056203710396329,0.0,0.07,True,2.4665518320876923e-05,6.759137634922046e-06,6.759137634922058e-06,2.4665518320876886e-05
-0.7036657439730412,0.0,0.07,True,2.4641639464814142e-05,6.78301649098482e-06,6.783016490984825e-06,2.4641639464814054e-05
-0.7017111169064494,0.0,0.07,True,2.4617769677945586e-05,6.8068862778533655e-06,6.806886277853369e-06,2.4617769677945556e-05
-0.6997564898398576,0.0,0.07,True,2.4593909165297375e-05,6.830746790501593e-06,6.830746790501598e-06,2.4593909165297358e-05
-0.6978018627732658,0.0,0.07,True,2.457005813299659e-05,6.8545978228023845e-06,6.85459782280239e-06,2.4570058132996592e-05
-0.6958472357066741,0.0,0.07,True,2.454621678827543e-05,6.878439167523509e-06,6.878439167523515e-06,2.4546216788275365e-05
-0.6938926086400822,0.0,0.07,True,2.4522385339475518e-05,6.902270616323433e-06,6.902270616323427e-06,2.4522385339475518e-05
-0.6919379815734904,0.0,0.07,True,2.4498563996052126e-05,6.926091959746836e-06,6.926091959746839e-06,2.449856399605216e-05
-0.6899833545068986,0.0,0.07,True,2.4474752968578354e-05,6.949902987220573e-06,6.949902987220565e-06,2.447475296857835e-05
-0.6880287274403069,0.0,0.07,True,2.4450952468749353e-05,6.973703487049571e-06,6.973703487049568e-06,2.4450952468749228e-05
-0.6860741003737151,0.0,0.07,True,2.442716270938652e-05,6.997493246412426e-06,6.997493246412424e-06,2.4427162709386463e-05
-0.6841194733071233,0.0,0.07,True,2.440338390444165e-05,7.0212720513572924e-06,7.021272051357299e-06,2.4403383904441677e-05
